,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,NETWORTH07,TrueRiskTolerance
60,77,2,1,0,3,31416.801006,4,215248.97126,0.19951067188921895
425,55,4,1,1,2,2779588.1568,2,49647586.871,0.6414583757066374
1122,85,4,1,0,2,372741.70685,4,58377675.049,0.5899434716750507
1190,40,2,1,3,1,53248.815265,3,268892.92946,0.43412691167593687
1228,70,2,1,0,2,37167.673055,3,2015065.9046,0.22821829777212155
1234,53,4,1,2,1,365286.87272,2,27528256.695,0.3648803393713238
1300,63,4,2,1,1,34079.241769,3,182782.98498,0.09316329250359995
1301,63,4,2,1,1,34079.241769,3,183715.02286,0.09228320914260502
1302,63,4,2,1,1,34079.241769,3,183818.58263,0.09228320914260502
1303,63,4,2,1,1,34079.241769,3,184854.18027,0.09228320914260502
1304,63,4,2,1,1,34079.241769,3,183818.58263,0.09316329250359995
1320,68,3,1,0,3,1682662.5624,3,77599403.005,0.625433280496583
1324,68,3,1,0,3,1586814.6949,3,67941833.573,0.6399103967425606
1370,48,4,2,0,1,46858.957433,3,239533.73612,0.47911013283641835
1371,48,4,2,0,1,46858.957433,3,241604.93142,0.47911013283641835
1372,48,4,2,0,1,45793.981128,3,241604.93142,0.47911013283641835
1373,48,4,2,0,1,46858.957433,3,238498.13847,0.47911013283641835
1374,48,4,2,0,1,46858.957433,3,243676.12671,0.47911013283641835
1443,55,4,1,0,1,171461.18515,1,2963259.1117,0.5955794042266608
1455,52,4,1,0,1,195955.64017,2,1605176.3553,0.2983036521852438
1457,52,4,1,0,1,233229.81086,2,1969085.369,0.3034990446738455
1565,53,4,1,2,2,305648.19962,3,2369872.015,0.4998806798083069
1568,53,4,1,2,2,309908.10484,3,2117279.3926,0.4650430809833691
1630,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1631,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1632,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1633,37,4,1,0,1,210865.30845,3,866795.23187,0.4120337880858519
1634,37,4,1,0,1,210865.30845,3,865759.63423,0.4120337880858519
1795,69,4,1,0,2,1863708.5343,2,32888510.124,0.4672939335637887
1798,69,4,1,0,2,1725261.6146,2,32922684.847,0.471462797057747
2290,47,4,1,1,2,56443.744181,1,1061487.5898,0.4410751629974268
2291,47,4,1,1,2,56443.744181,1,1057345.1992,0.4410751629974268
2292,47,4,1,1,2,56443.744181,1,1081163.9451,0.4410751629974268
2293,47,4,1,1,2,56443.744181,1,1071843.5663,0.4410751629974268
2294,47,4,1,1,2,56443.744181,1,1069772.371,0.4410751629974268
2320,41,4,1,5,2,2012805.217,3,9548210.3201,0.6305815654207465
2321,41,4,1,5,2,2204500.952,3,9569957.8707,0.6328020661922309
2322,41,4,1,5,2,2225800.4781,3,7944069.5624,0.6315709569812048
2323,41,4,1,5,2,1980855.9278,3,8120121.1626,0.6318034648793829
2324,41,4,1,5,2,2108653.0845,3,8565428.1515,0.6305428275821632
2515,50,4,1,0,2,394041.23296,3,2710159.0464,0.2932996895634807
2516,50,4,1,0,2,394041.23296,3,2824074.7877,0.2932996895634807
2517,50,4,1,0,2,394041.23296,3,3041550.2939,0.2932996895634807
2518,50,4,1,0,2,394041.23296,3,3114042.1293,0.2932996895634807
2519,50,4,1,0,2,394041.23296,3,2844786.7407,0.2932996895634807
2527,44,2,2,0,2,43664.028517,2,303585.45069,0.30810874148598955
2529,44,2,2,0,2,43664.028517,2,302135.61398,0.3193488311398633
2665,72,4,2,0,1,495213.98196,4,7484264.2064,0.6222852758644076
2666,72,4,2,0,1,495213.98196,4,7278180.2743,0.5552311817770218
2669,72,4,2,0,1,496278.95827,4,7454231.8746,0.6007573501069815
3090,58,4,1,1,1,115017.44097,2,257594.55911,0.577092719227685
3091,58,4,1,1,1,115017.44097,2,151456.15611,0.5797583829760355
3225,56,4,1,0,1,127797.15664,3,603235.63031,0.42201498640856555
3226,56,4,1,0,1,127797.15664,3,603235.63031,0.42201498640856555
3227,56,4,1,0,1,128862.13294,3,603235.63031,0.42201498640856555
3228,56,4,1,0,1,127797.15664,3,603235.63031,0.42201498640856555
3229,56,4,1,0,1,127797.15664,3,603235.63031,0.42201498640856555
3501,56,3,2,0,1,24494.455022,4,13545.617244,0.5172530446549392
3502,56,3,2,0,1,24494.455022,4,13442.057479,0.5613706917115351
3504,56,3,2,0,1,24494.455022,4,13379.92162,0.5399803173822119
3545,43,1,1,2,1,72418.38876,3,-61820.00163,0.14123615099974907
3546,43,1,1,2,1,71353.412455,3,-57889.90856,0.1502649012571854
3549,43,1,1,2,1,71353.412455,3,-60991.52351,0.1520946869352216
3781,56,4,2,1,1,203410.47431,3,2126755.111,0.5142915951874054
3783,56,4,2,1,1,203410.47431,3,1782936.6917,0.5505146463428112
3784,56,4,2,1,1,138446.91969,3,2200282.5441,0.5735501977696699
3790,46,4,2,2,1,71353.412455,3,217889.74526,0.15932422395648896
3791,46,4,2,2,1,71353.412455,3,217786.1855,0.15932422395648896
3792,46,4,2,2,1,71353.412455,3,217889.74526,0.15932422395648896
3793,46,4,2,2,1,71353.412455,3,217889.74526,0.15872038778048242
3794,46,4,2,2,1,71353.412455,3,217786.1855,0.15872038778048242
3900,75,2,1,0,3,222580.04781,4,1932943.0111,0.29281814626061575
3918,51,4,1,0,1,162941.37471,3,730096.34226,0.3110162680544297
3919,51,4,1,0,1,129927.10925,3,740452.31875,0.31168900735806615
4192,57,4,1,3,1,113952.46467,3,191295.59765,0.04049760925634709
4259,36,4,2,0,1,136316.96708,2,609034.97714,0.07584323875279414
4290,35,4,2,0,1,44729.004822,4,126342.91313,0.11282406512447107
4291,35,4,2,0,1,44729.004822,4,126342.91313,0.11282406512447107
4292,35,4,2,0,1,44729.004822,4,126342.91313,0.11282406512447107
4293,35,4,2,0,1,44729.004822,4,126342.91313,0.11282406512447107
4294,35,4,2,0,1,44729.004822,4,126342.91313,0.11282406512447107
4556,53,4,1,1,1,1916957.3495,3,10111575.441,0.5123757916975052
4558,53,4,1,1,1,1916957.3495,3,10173711.3,0.5155006875494955
4564,44,2,1,4,2,85198.104423,2,896278.69693,0.08397954274078752
4734,50,4,1,1,1,419600.66429,3,1877849.2162,0.15579735419445698
4819,75,1,1,0,2,1970206.1648,2,55705833.116,0.6697678158249083
4840,52,4,1,1,2,272633.93416,3,2285564.0105,0.375405443307085
4841,52,4,1,1,2,272633.93416,3,2284528.4128,0.375405443307085
4842,52,4,1,1,2,272633.93416,3,2284528.4128,0.375405443307085
4843,52,4,1,1,2,272633.93416,3,2284528.4128,0.375405443307085
4844,52,4,1,1,2,272633.93416,3,2284528.4128,0.375405443307085
5323,54,4,1,0,1,964868.5326,2,36337050.294,0.671853138783548
5688,62,4,1,2,1,2534643.6066,3,24258667.799,0.6404304934580256
5750,41,4,1,2,1,420665.64059,3,2027700.196,0.06414842022548926
5800,31,3,2,1,1,83068.151813,1,268219.79099,0.42262932240981765
6121,45,4,2,0,2,41821619.509,1,119876434.29,0.4173005989472477
6122,45,4,2,0,2,41821619.509,1,102930949.97,0.43591942742608353
6123,45,4,2,0,2,41810969.746,1,108632950.62,0.41676834563744886
6124,45,4,2,0,2,41821619.509,1,105260009.08,0.41698529844219945
6375,44,4,1,2,1,261984.1711,2,902316.23122,0.3434262245621274
6376,44,4,1,2,1,261984.1711,2,903351.82887,0.3434262245621274
6377,44,4,1,2,1,261984.1711,2,903351.82887,0.3434262245621274
6378,44,4,1,2,1,261984.1711,2,902316.23122,0.3434262245621274
6379,44,4,1,2,1,261984.1711,2,903351.82887,0.3434262245621274
6400,56,4,1,0,2,563372.4655,2,7091772.6976,0.5317325351656546
6401,56,4,1,0,2,563372.4655,2,6939539.8432,0.5317325351656546
6402,56,4,1,0,2,562307.48919,2,7125947.42,0.5317325351656546
6403,56,4,1,0,2,562307.48919,2,7048277.5963,0.5317325351656546
6404,56,4,1,0,2,562307.48919,2,6849442.8478,0.5317325351656546
6510,42,4,1,1,1,69223.459844,3,364944.61137,0.06054320510342161
6511,42,4,1,1,1,69223.459844,3,365980.20901,0.06054320510342161
6512,42,4,1,1,1,69223.459844,3,365980.20901,0.06054320510342161
6513,42,4,1,1,1,69223.459844,3,365980.20901,0.06054320510342161
6514,42,4,1,1,1,69223.459844,3,365980.20901,0.06054320510342161
6649,83,4,2,0,3,1618763.984,3,43971476.159,0.6263657420961835
6805,65,4,1,0,1,159746.44579,3,710937.78576,0.45843095606525686
6809,65,4,1,0,1,159746.44579,3,777216.03527,0.4593560822658464
7183,70,4,1,0,1,266244.07632,3,6474142.26,0.4767458740994549
7235,38,4,1,2,1,288608.57873,2,1381487.2632,0.4888983361315807
7236,38,4,1,2,1,288608.57873,2,1380451.6656,0.4939478653964482
7237,38,4,1,2,1,288608.57873,2,1381487.2632,0.483646139488546
7238,38,4,1,2,1,288608.57873,2,1381487.2632,0.4885913086967336
7239,38,4,1,2,1,288608.57873,2,1380451.6656,0.4879489748021568
7240,89,3,2,0,3,104900.16607,3,1793655.1274,0.5616494831650447
7241,89,3,2,0,3,119809.83435,3,1627959.5036,0.5616494831650447
7242,89,3,2,0,3,125134.71587,3,2221356.9562,0.5616494831650447
7243,89,3,2,0,3,104900.16607,3,1518186.1528,0.5616494831650447
7244,89,3,2,0,3,123004.76326,3,1825758.6545,0.5616494831650447
7305,68,4,1,0,2,5473978.2092,3,63127961.463,0.5764829321866529
7306,68,4,1,0,2,5484627.9723,3,63128997.061,0.5764829321866529
7307,68,4,1,0,2,5473978.2092,3,63128997.061,0.5764829321866529
7308,68,4,1,0,2,5473978.2092,3,63128997.061,0.5764829321866529
7309,68,4,1,0,2,5473978.2092,3,63118641.084,0.5764829321866529
7507,64,4,1,0,3,899904.97797,3,4560772.0444,0.4348931201641302
7508,64,4,1,0,3,729508.76913,3,4409264.1084,0.5121733508827578
7527,20,3,2,0,4,13844.691969,3,19531.371653,0.4239372688336329
7786,80,2,1,0,2,115929060.69,2,282838287.39,0.5441864791835174
7787,80,2,1,0,2,117015336.52,2,276165931.74,0.5345819060249052
7788,80,2,1,0,2,117070715.29,2,293515299.15,0.5292775138977728
7789,80,2,1,0,2,113009960.64,2,304051469.63,0.5441778170853322
7901,64,4,1,0,3,116082.41728,3,8393415.3821,0.007654439933978925
7904,64,4,1,0,3,154421.56427,3,10483976.355,0.007257911847612839
8045,57,4,1,0,2,2002155.454,3,15838430.438,0.3976980358258949
8090,64,2,1,0,2,217255.16628,3,5440615.8067,0.6031687079535819
8125,68,4,1,0,3,45793.981128,3,938044.3501,0.05008187923342801
8145,61,4,1,0,1,279023.79199,4,1358704.115,0.6400140510113633
8146,61,4,1,0,1,279023.79199,4,1358704.115,0.6400140510113633
8147,61,4,1,0,1,280088.76829,4,1358704.115,0.6400140510113633
8148,61,4,1,0,1,279023.79199,4,1358704.115,0.6400140510113633
8149,61,4,1,0,1,279023.79199,4,1358704.115,0.6400140510113633
8285,38,4,1,0,1,79873.222897,2,1137396.8975,0.4490943444948732
8286,38,4,1,0,1,79873.222897,2,1136361.2998,0.4538522000656261
8287,38,4,1,0,1,79873.222897,2,1138432.4951,0.4516092215795616
8288,38,4,1,0,1,80938.199202,2,1137396.8975,0.4504303060905125
8289,38,4,1,0,1,79873.222897,2,1138432.4951,0.4551219673325816
8325,50,4,1,3,2,755068.20045,3,16506494.481,0.6366421583699002
8326,50,4,1,3,2,755068.20045,3,17651140.562,0.6326248073161925
8327,50,4,1,3,2,754003.22415,3,19329119.432,0.6319237316081401
8328,50,4,1,3,2,754003.22415,3,17544681.123,0.620147466366245
8329,50,4,1,3,2,754003.22415,3,18375023.318,0.6118527876883084
8345,75,4,2,0,2,215125.21367,4,2666663.9451,0.26805265355415475
8346,75,4,2,0,2,226839.95303,4,2666663.9451,0.26805265355415475
8347,75,4,2,0,2,223645.02411,4,2666663.9451,0.26805265355415475
8348,75,4,2,0,2,234294.78716,4,2666663.9451,0.26805265355415475
8349,75,4,2,0,2,220450.0952,4,2666663.9451,0.26805265355415475
8375,47,4,1,2,1,510123.65024,2,1565823.6447,0.4006483855351486
8376,47,4,1,2,1,510123.65024,2,1682121.2606,0.39332889381559977
8377,47,4,1,2,1,510123.65024,2,1616422.9458,0.39978503242974783
8378,47,4,1,2,1,510123.65024,2,1669279.8498,0.3864079412458646
8379,47,4,1,2,1,510123.65024,2,1511972.5669,0.38758077731380447
8788,59,2,1,1,2,13322853.579,2,162801128.35,0.3110424836924661
8795,48,3,2,0,1,63898.578318,3,3624.5917701,0.4609009609041619
8799,48,3,2,0,1,63898.578318,3,6110.0261267,0.5328832382352378
8935,46,2,1,1,1,137381.94338,2,429151.66558,0.3310746097711851
8936,46,2,1,1,1,137381.94338,2,427080.47028,0.3364509538592162
8937,46,2,1,1,1,137381.94338,2,429151.66558,0.3310746097711851
8938,46,2,1,1,1,137381.94338,2,428116.06793,0.3364509538592162
8939,46,2,1,1,1,137381.94338,2,429151.66558,0.3310746097711851
9326,71,4,1,0,2,1075626.0683,3,16307556.172,0.45698711375216167
9520,63,4,1,0,1,71353.412455,2,952853.39647,0.6643002622410845
9521,63,4,1,0,1,71353.412455,2,953681.87459,0.6630780422012001
9522,63,4,1,0,1,70288.436149,2,955338.83083,0.6606595034732741
9523,63,4,1,0,1,71353.412455,2,952024.91835,0.6670824210149615
9524,63,4,1,0,1,71353.412455,2,953578.31483,0.6632303439742332
9632,41,4,1,2,2,2215150.715,3,34614851.404,0.5428157362838608
9645,44,4,1,2,1,774237.77395,2,11058111.692,0.2747061345996268
9646,44,4,1,2,1,774237.77395,2,11010474.2,0.2747061345996268
9647,44,4,1,2,1,774237.77395,2,11298370.346,0.2747061345996268
9648,44,4,1,2,1,774237.77395,2,11093322.012,0.2747061345996268
9649,44,4,1,2,1,774237.77395,2,11016687.786,0.2747061345996268
9662,38,4,1,2,2,106497.63053,4,974021.01241,0.18415481209867018
9761,69,4,2,0,2,3045832.2331,2,38997500.653,0.40326907667325296
10064,56,4,1,0,4,141641.8486,3,728335.82626,0.5629974885422251
10085,59,4,1,2,2,63291541.824,3,930151024.82,0.4555667304989673
10119,45,4,1,4,2,29872585.363,4,328807431.42,0.5762585418131752
10230,54,4,1,4,2,3801965.4099,1,14919855.323,0.014339738775777098
10231,54,4,1,4,2,3801965.4099,1,14920890.921,0.014334712412252159
10232,54,4,1,4,2,3801965.4099,1,14917784.128,0.014349812921503703
10233,54,4,1,4,2,3812615.173,1,14895000.98,0.014415998975438913
10234,54,4,1,4,2,3801965.4099,1,14909499.347,0.014334712412252159
10430,76,4,1,0,3,699689.43258,3,32430775.963,0.6358115922558947
10431,76,4,1,0,3,698624.45627,3,43471282.495,0.6358115922558947
10432,76,4,1,0,3,699689.43258,3,32638931.091,0.6358115922558947
10433,76,4,1,0,3,699689.43258,3,43067399.412,0.6358115922558947
10434,76,4,1,0,3,698624.45627,3,44557624.428,0.6358115922558947
10629,76,2,2,0,3,28434.867351,3,311642.40039,0.13570043584660868
10637,66,2,1,0,3,38339.146991,4,581384.51992,0.15773987998218963
10667,33,4,1,1,2,275828.86307,2,1379416.0679,0.3351833230708915
10833,75,4,1,0,3,93717.914866,4,1019028.0862,0.4639406809966786
11135,22,3,1,0,1,79873.222897,1,1346.2769432,0.24111820630437403
11136,22,3,1,0,1,79873.222897,1,6524.2651862,0.24111820630437403
11137,22,3,1,0,1,79873.222897,1,1346.2769432,0.24111820630437403
11138,22,3,1,0,1,79873.222897,1,1449.836708,0.24032462748957678
11139,22,3,1,0,1,79873.222897,1,5488.6675376,0.24111820630437403
11250,42,4,1,4,2,962738.57999,3,9904455.9112,0.3234551195308976
11251,42,4,1,4,2,853046.02054,3,9905491.5088,0.3234551195308976
11252,42,4,1,4,2,975518.29565,3,9905491.5088,0.3234551195308976
11253,42,4,1,4,2,959543.65107,3,9905491.5088,0.3234551195308976
11254,42,4,1,4,2,945698.9591,3,9905491.5088,0.3234551195308976
11326,51,4,1,2,2,1309920.8555,3,6095320.6401,0.33917624047507733
11632,43,4,1,1,1,401496.0671,3,2313525.147,0.17759351058557615
11634,43,4,1,1,1,402561.0434,3,2269408.6871,0.16907981783655368
11777,81,2,2,0,3,42599.052212,4,346096.73416,0.01514142309017425
12025,48,4,1,0,1,127797.15664,3,359663.06336,0.09579589630981197
12026,48,4,1,0,1,127797.15664,3,350239.12476,0.10124647770518402
12029,48,4,1,0,1,127797.15664,3,360595.10124,0.09579589630981197
12446,68,2,1,0,3,39404.123296,4,362562.73677,0.20597418459550815
12495,59,4,1,0,2,266244.07632,3,1018924.5265,0.2129060084966031
12496,59,4,1,0,2,266244.07632,3,1018924.5265,0.2129060084966031
12497,59,4,1,0,2,266244.07632,3,1018924.5265,0.2129060084966031
12498,59,4,1,0,2,266244.07632,3,1018820.9667,0.21302150461031438
12499,59,4,1,0,2,266244.07632,3,1018924.5265,0.2129060084966031
12912,54,4,2,2,1,108627.58314,3,1140710.8099,0.04438139612761681
12913,54,4,2,2,1,108627.58314,3,1094833.8341,0.04194052844543272
12977,45,4,1,3,1,481369.28999,3,2378767.7988,0.5987319194424482
13015,42,4,1,2,1,91587.962255,3,332841.08426,0.32607942625883984
13019,42,4,1,2,1,94782.891171,3,306433.34422,0.33143739647323234
13051,49,4,1,2,2,333337.58356,2,4308086.2182,0.14783376194019815
13053,49,4,1,2,2,333337.58356,2,4317095.9177,0.14783376194019815
13054,49,4,1,2,2,333337.58356,2,4316163.8798,0.14783376194019815
13365,31,4,1,0,1,191695.73495,2,136698.88961,0.47677405746879714
13366,31,4,1,0,1,193825.68756,2,126653.59242,0.490363018575272
13367,31,4,1,0,1,195955.64017,2,137009.56891,0.4753470660372888
13368,31,4,1,0,1,202345.49801,2,147883.34422,0.4885649880276396
13369,31,4,1,0,1,197020.61648,2,137527.36773,0.490363018575272
13375,55,4,2,1,4,25559.431327,3,709384.38929,0.5717518319239507
13376,55,4,2,1,4,25559.431327,3,706381.15611,0.5559131964822186
13428,64,4,1,0,2,1075626.0683,2,22445543.436,0.6141051404828384
13429,64,4,1,0,2,1959556.4017,2,19260045.069,0.5796707649139574
13565,65,4,1,0,2,133122.03816,2,131417.34161,0.4295521660381818
13566,65,4,1,0,2,133122.03816,2,132867.17831,0.4295521660381818
13567,65,4,1,0,2,133122.03816,2,132142.25996,0.431904943905138
13568,65,4,1,0,2,134187.01447,2,130588.86349,0.4295521660381818
13569,65,4,1,0,2,133122.03816,2,131106.66231,0.431904943905138
13600,66,4,1,0,3,170396.20885,3,3753212.998,0.2646315353341181
13940,42,3,1,0,2,181045.9719,3,1402717.015,0.5399597304993293
13941,42,3,1,0,2,181045.9719,3,1405823.808,0.5482666163718515
13942,42,3,1,0,2,181045.9719,3,1409966.1986,0.5475548009586104
13943,42,3,1,0,2,181045.9719,3,1414108.5892,0.5468466358808219
13944,42,3,1,0,2,182110.94821,3,1404788.2103,0.543359595181332
14130,58,4,1,0,1,718859.00607,2,12145592.782,0.442504272776765
14131,58,4,1,0,1,718859.00607,2,10174850.457,0.4192114128252157
14134,58,4,1,0,1,718859.00607,2,10242164.304,0.41111844660833696
14315,40,4,1,0,1,215125.21367,2,804348.69366,0.2779278871350721
14316,40,4,1,0,1,214060.23736,2,804348.69366,0.2779278871350721
14317,40,4,1,0,1,214060.23736,2,804348.69366,0.2779278871350721
14318,40,4,1,0,1,214060.23736,2,804348.69366,0.2779278871350721
14319,40,4,1,0,1,215125.21367,2,803313.09602,0.2779278871350721
14353,43,4,1,0,3,59638.673096,3,332323.28543,0.4107281365083386
14354,43,4,1,0,3,60703.649402,3,321967.30895,0.4320159992079383
14410,51,4,1,2,1,80938.199202,4,1023791.8354,0.46515845308919695
14411,51,4,1,2,1,80938.199202,4,1768490.1045,0.5264313255120547
14460,47,4,2,0,1,77743.270286,3,330977.00849,0.3741295092218151
14463,47,4,2,0,1,77743.270286,3,358731.02547,0.3377238859634682
14495,60,4,1,0,2,1160824.1728,4,5939152.5147,0.593538541927592
14496,60,4,1,0,2,1171473.9358,4,5940188.1123,0.593538541927592
14497,60,4,1,0,2,1128874.8836,4,6016822.3383,0.593538541927592
14498,60,4,1,0,2,1139524.6467,4,5937081.3194,0.593538541927592
14499,60,4,1,0,2,1160824.1728,4,5937081.3194,0.593538541927592
14655,42,4,1,4,2,8807354.0448,3,167634262.57,0.6416765160997355
14656,42,4,1,4,2,7540032.2415,3,163338603.53,0.6214379722086765
14657,42,4,1,4,2,11469794.808,3,160855240.37,0.6351153941236092
14658,42,4,1,4,2,12396324.194,3,154883984.32,0.6270913356563378
14659,42,4,1,4,2,11427195.756,3,166793357.28,0.6149383506534711
14665,71,4,1,0,2,1405768.723,2,40888501.96,0.41324234435508567
14666,71,4,1,0,2,1352519.9077,2,45184161.006,0.43698441886524675
14667,71,4,1,0,2,1363169.6708,2,48577814.5,0.4273552454225509
14669,71,4,1,0,2,1363169.6708,2,42204746.571,0.42085823257662774
14718,31,4,1,0,2,372741.70685,2,8204004.5722,0.10307941994556344
14725,78,4,2,0,3,32588.274942,3,2200645.0033,0.65091343984501
14726,78,4,2,0,3,32588.274942,3,2200645.0033,0.6522798411042887
14727,78,4,2,0,3,32588.274942,3,2200645.0033,0.6514081917060761
14729,78,4,2,0,3,32588.274942,3,2200645.0033,0.6529994406074766
15217,82,4,1,0,3,366351.84902,3,8792224.0366,0.6138724612247157
15415,59,3,1,3,3,459004.78758,3,8835719.1378,0.5903652720188954
15416,59,3,1,3,3,436640.28517,3,8723667.4722,0.6094093066727065
15417,59,3,1,3,3,444095.11931,3,8694774.2978,0.5662128532576296
15419,59,3,1,3,3,291803.50765,3,8690735.467,0.5832615894065993
15701,48,4,1,3,2,35719305.28,3,51995286.741,0.6506068478104075
15702,48,4,1,3,2,35942950.304,3,206216488.57,0.6320099873288347
15703,48,4,1,3,2,43972871.646,3,71023357.936,0.6510505931336671
16545,23,3,1,0,1,37274.170685,4,54990.23514,0.13804600633387898
16546,23,3,1,0,1,37274.170685,4,54990.23514,0.13804600633387898
16547,23,3,1,0,1,37274.170685,4,52919.039843,0.13804600633387898
16548,23,3,1,0,1,37274.170685,4,53954.637492,0.13804600633387898
16549,23,3,1,0,1,37274.170685,4,52919.039843,0.13804600633387898
16625,45,4,1,1,1,498408.91088,3,2327298.5957,0.6295362162981839
16627,45,4,1,1,1,429185.45103,3,2422677.1391,0.6070310041159304
16628,45,4,1,1,1,514383.55546,3,2201162.8021,0.5240981471677654
16765,47,2,2,0,1,40469.099601,3,557980.01306,0.22841265000697697
16766,47,2,2,0,1,40469.099601,3,448206.66231,0.22841265000697697
16767,47,2,2,0,1,41534.075906,3,480310.18942,0.22841265000697697
16768,47,2,2,0,1,40469.099601,3,393319.98694,0.22841265000697697
16769,47,2,2,0,1,40469.099601,3,418174.3305,0.22841265000697697
16970,61,4,1,1,1,2364247.3978,2,58035927.825,0.5997518508867045
16971,61,4,1,1,1,2406846.45,2,57251980.405,0.6018737620756576
16972,61,4,1,1,1,2385546.9239,2,62310874.918,0.6063685182154119
16973,61,4,1,1,1,2396196.6869,2,62276700.196,0.600367713121325
16974,61,4,1,1,1,2417496.213,2,60260391.574,0.6045873880326847
17530,49,4,1,2,1,340792.41769,3,3586274.6571,0.25316112644897554
17532,49,4,1,2,1,340792.41769,3,3593523.8406,0.24331695072188145
17533,49,4,1,2,1,340792.41769,3,3595595.0359,0.2534136688960863
17534,49,4,1,2,1,340792.41769,3,3546921.9464,0.25366553699754385
17743,81,2,2,0,3,21299.526106,3,385760.1241,0.6394266317987682
17745,56,4,1,1,2,2939334.6026,3,7847758.9811,0.5388351103042441
17747,56,4,1,1,2,2939334.6026,3,7405558.7851,0.5443041829432194
17770,45,4,1,2,1,172526.16146,3,2436968.3867,0.39043978349101116
17771,45,4,1,2,1,157616.49318,3,2174651.5023,0.4132057409388871
17774,45,4,1,2,1,222580.04781,3,1791376.8125,0.41634887439780144
18260,89,1,1,0,2,532488.15265,4,54637717.701,0.3923742036687915
18261,89,1,1,0,2,532488.15265,4,46348897.681,0.3913084292239558
18262,89,1,1,0,2,532488.15265,4,36330940.268,0.3918637557734047
18263,89,1,1,0,2,532488.15265,4,45561014.99,0.3921027033336699
18264,89,1,1,0,2,532488.15265,4,58171694.677,0.3922543331531143
18465,50,4,1,0,2,0.0,2,38894976.486,0.5708087228311243
18466,50,4,1,0,2,0.0,2,38896012.084,0.5708087228311243
18467,50,4,1,0,2,0.0,2,38894976.486,0.5708087228311243
18468,50,4,1,0,2,0.0,2,38896012.084,0.5708087228311243
18469,50,4,1,0,2,0.0,2,38896012.084,0.5708087228311243
18515,73,2,1,0,3,39830.113818,4,333876.68191,0.48009326928419305
18695,46,4,2,3,2,4132108.0645,2,2368411.8223,0.43655650480155883
18720,38,4,1,3,1,112887.48836,2,205566.13325,0.36889531307663925
18721,38,4,1,3,1,112887.48836,2,205669.69301,0.36889531307663925
18722,38,4,1,3,1,113952.46467,2,205669.69301,0.36889531307663925
18723,38,4,1,3,1,113952.46467,2,205566.13325,0.36889531307663925
18724,38,4,1,3,1,112887.48836,2,205566.13325,0.36889531307663925
18791,45,4,1,3,2,2587892.4219,2,45856263.88,0.6459761039703992
18794,45,4,1,3,2,2300348.8194,2,49278914.108,0.6543022208584988
18990,45,3,1,2,1,119277.34619,3,56191.528413,0.0018318798074037225
19090,37,4,1,3,2,86263.080729,1,250511.0712,0.07619138005988281
19190,53,4,1,0,1,181045.9719,2,758057.47877,0.35209401757913306
19191,53,4,1,0,1,182110.94821,2,757021.88112,0.3574416111588659
19192,53,4,1,0,1,181045.9719,2,758057.47877,0.35209401757913306
19193,53,4,1,0,1,181045.9719,2,758057.47877,0.35209401757913306
19194,53,4,1,0,1,182110.94821,2,758057.47877,0.35209401757913306
